15:36:54, parts[1], parts[2], parts[3], parts[4]
15:37:08, parts[1], parts[2], parts[3], parts[4]15:37:09, parts[1], parts[2], parts[3], parts[4]15:37:10, parts[1], parts[2], parts[3], parts[4]15:37:11, parts[1], parts[2], parts[3], parts[4]15:37:12, parts[1], parts[2], parts[3], parts[4]15:37:13, parts[1], parts[2], parts[3], parts[4]15:37:14, parts[1], parts[2], parts[3], parts[4]15:37:15, parts[1], parts[2], parts[3], parts[4]15:37:16, parts[1], parts[2], parts[3], parts[4]15:37:51, 14.65, N, 121.067, E15:37:52, 14.65, N, 121.067, E15:37:53, 14.651, N, 121.067, E15:38:00, 14.651, N, 121.067, E15:38:06, 14.652, N, 121.066, E15:38:07, 14.652, N, 121.066, E15:38:08, 14.652, N, 121.066, E15:38:09, 14.652, N, 121.066, E15:38:10, 14.652, N, 121.066, E15:38:11, 14.652, N, 121.065, E15:38:12, 14.652, N, 121.065, E15:38:13, 14.652, N, 121.065, E15:38:14, 14.652, N, 121.065, E15:38:15, 14.652, N, 121.065, E15:38:16, 14.652, N, 121.065, E15:38:17, 14.652, N, 121.065, E15:39:50, 14.65, N, 121.067, E
15:39:51, 14.65, N, 121.067, E
15:39:52, 14.65, N, 121.067, E
15:39:53, 14.65, N, 121.067, E
15:39:54, 14.65, N, 121.067, E
15:39:55, 14.65, N, 121.067, E
15:39:56, 14.65, N, 121.067, E
15:39:57, 14.65, N, 121.067, E
15:39:58, 14.65, N, 121.067, E
15:39:59, 14.65, N, 121.067, E
15:40:00, 14.65, N, 121.067, E
15:40:01, 14.65, N, 121.067, E
15:40:02, 14.65, N, 121.067, E
15:40:03, 14.65, N, 121.067, E
15:40:04, 14.65, N, 121.067, E
15:40:05, 14.65, N, 121.067, E
15:40:06, 14.65, N, 121.067, E
15:40:07, 14.65, N, 121.067, E
15:40:08, 14.65, N, 121.067, E
15:40:09, 14.65, N, 121.067, E
15:40:10, 14.65, N, 121.067, E
15:40:28, 14.65, N, 121.067, E
15:40:29, 14.65, N, 121.067, E
15:40:30, 14.65, N, 121.067, E
15:40:31, 14.65, N, 121.067, E
15:40:32, 14.65, N, 121.067, E
15:40:33, 14.65, N, 121.067, E
15:40:34, 14.65, N, 121.067, E
15:40:35, 14.65, N, 121.067, E
15:40:36, 14.65, N, 121.067, E
15:40:37, 14.65, N, 121.067, E
15:40:38, 14.65, N, 121.067, E
15:40:53, 14.649, N, 121.069, E
15:40:54, 14.649, N, 121.069, E
15:47:59, 14.65, N, 121.069, E
15:48:00, 14.649, N, 121.069, E
15:48:01, 14.649, N, 121.069, E
15:48:02, 14.649, N, 121.069, E
15:48:03, 14.649, N, 121.069, E
15:48:04, 14.649, N, 121.069, E
15:48:05, 14.649, N, 121.069, E
15:48:06, 14.649, N, 121.069, E
15:48:07, 14.649, N, 121.069, E
15:48:08, 14.649, N, 121.069, E
15:48:09, 14.649, N, 121.069, E
15:48:10, 14.649, N, 121.069, E
15:48:11, 14.649, N, 121.069, E
15:48:12, 14.649, N, 121.069, E
15:48:13, 14.649, N, 121.069, E
15:48:14, 14.649, N, 121.069, E
15:48:15, 14.649, N, 121.069, E
15:48:16, 14.649, N, 121.069, E
15:48:17, 14.649, N, 121.069, E
15:48:18, 14.649, N, 121.069, E
15:48:19, 14.649, N, 121.069, E
15:48:20, 14.649, N, 121.069, E
15:48:21, 14.649, N, 121.069, E
15:48:22, 14.649, N, 121.069, E
15:48:23, 14.649, N, 121.069, E
15:48:24, 14.649, N, 121.069, E
15:48:25, 14.649, N, 121.069, E
15:48:26, 14.649, N, 121.069, E
15:48:27, 14.649, N, 121.069, E
15:48:28, 14.649, N, 121.069, E
15:48:29, 14.649, N, 121.069, E
15:48:30, 14.649, N, 121.069, E
15:48:31, 14.649, N, 121.069, E
15:48:32, 14.649, N, 121.069, E
15:48:33, 14.649, N, 121.069, E
15:48:34, 14.649, N, 121.069, E
15:48:35, 14.649, N, 121.069, E
15:48:36, 14.649, N, 121.069, E
